question_number,question,gold_from_attached_csv,base_correct_recorded,merged_correct_recorded,base_execution_result_recorded,merged_execution_result_recorded,base_result_observed,merged_result_observed
1,"Find the maximum value of a positive constant $a$ such that $\sqrt{x + y} + \sqrt{y} \geq \sqrt{x + ay}$ for all $x \geq 0, y \geq 0$.",4,True,True,,,False,False
2,"A person is walking down an escalator moving downwards and takes a total of 26 steps to reach the bottom in 30 seconds. When running down the escalator, the same person takes a total of 34 steps and reaches the bottom in 18 seconds. How many steps are on the escalator at a time?",46,False,False,"Error: list indices must be integers or slices, not Symbol",23.444444444444443,True,True
3,"In a summer camp with 100 students, each student can sing, dance, or act. Some students have more than one talent, but no student has all three talents. There are 42 students who cannot sing, 65 students who cannot dance, and 29 students who cannot act. How many students have two of these talents?",64,False,True,,,True,False
4,"Suppose that the equations $y = x^3 - 3x + 5$ and $x + 2y = 8$ intersect at the points $(x_1, y_1)$, $(x_2, y_2)$, and $(x_3, y_3)$. What is the value of $x_1 + x_2 + x_3 + y_1 + y_2 + y_3$?",12,True,True,,,False,False
5,How many nonnegative integer solutions are there to the equation $x + y + z = 10$?,66,False,True,,,True,False
6,A rectangle is inscribed in a circle with an area of $32\pi$. The area of the rectangle is $34$. Find the perimeter of the rectangle.,28,False,True,"[-14 - 2*sqrt(15) - (-128 + (-7 - sqrt(15))**2)*(-7 - sqrt(15))/17, -(-128 + (-7 + sqrt(15))**2)*(-7 + sqrt(15))/17 - 14 + 2*sqrt(15), -2*sqrt(15) + 14 - (-128 + (7 - sqrt(15))**2)*(7 - sqrt(15))/17, -(-128 + (sqrt(15) + 7)**2)*(sqrt(15) + 7)/17 + 2*sqrt(15) + 14]",,True,False
7,"At his usual rowing rate, a man rows 15 miles downstream in five hours less time than it takes him to return. If he doubles his usual rowing rate, the time downstream is only one hour less than the time upstream. Find the rate of the stream's current in miles per hour.",2,False,True,"Error: list indices must be integers or slices, not Symbol",,True,False
8,"Let \( p \) be a prime number satisfying \( p > 3 \). Evaluate \( \left(\frac{3^p + 1}{p}\right) \), where the brackets represent the Legendre symbol.",1,True,True,,,False,False
9,"The triangle with side lengths $3, 5$, and $k$ has an area of $6$ for two distinct values of $k$: $x$ and $y$. Compute $|x^2 - y^2|$.",36,False,True,0,,True,False
10,"A positive integer is said to be *friendly* if it is composed of the digits in the set $\{1,2\}$ and the sum of its digits is equal to $12$. How many friendly positive integers are there?",233,True,False,,1889,False,True
11,Find the smallest positive multiple of $15$ such that every digit of $n$ is either $0$ or $2$. Compute $\frac{n}{15}$.,148,False,False,148148148,,True,True
12,"What is the average book width, in centimeters, of five books with the following widths: $6$, $\frac{1}{2}$, $1$, $2.5$, and $10$?",4,True,True,,,False,False
13,A club has 15 members and needs to choose 2 members to be co-presidents. In how many ways can the club choose its co-presidents?,105,True,True,,,False,False
14,"Tim had 5 red marbles and 2 green marbles. If he adds \( n \) more green marbles to his collection, the probability of drawing a green marble triples. What is the value of \( n \)?",28,True,False,,,False,True
15,"Qin Shi Huang arranges his warriors into lines such that the number of warriors in each line is even. When he arranges them into $2$ lines, there is a remainder of $1$; into $3$ lines, a remainder of $2$; into $4$ lines, a remainder of $3$; into $5$ lines, a remainder of $4$; and into $6$ lines, a remainder of $5$. Find the minimum number of warriors he has.",59,True,True,,,False,False
16,"If 3 is the least prime factor of \( a \) and 7 is the least prime factor of \( b \), find the least prime factor of \( a + b \). (Can you suggest a method other than hit and trial?)",2,True,True,,,False,False
17,"Given the function $f$ such that $f(3k) = k + f(3k-3)$ for any integer $k$, and $f(3) = 1$, find $f(21)$.",28,True,True,,,False,False
18,"Find the minimum value of the function \( f(x) = |x - p| + |x - 15| + |x - p - 15| \) where \( x \in [p, 15] \) and \( p \in (0, 15) \).",15,True,False,,,False,True
19,"Find the minimum value of \(x + y + z\), where \(x, y, z\) are positive real numbers satisfying \(xy^2z^3 = 108\).",6,True,True,,,False,False
20,How many solutions does the equation $x + y + z = 100$ have on the set of positive integers?,4851,False,True,,,True,False
